HỘI THOẠI.|Hôi điên .
- Chị ơi mua đồ dùng học sinh ở đâu?|- mai trương ruôt ơ̆p chă yuô hok sinh hăn như ? .
- Chị không biết. Em hỏi làm gì?|- mai pă lê̆ . Oh apinh pơm yưng ? .
- Em muốn mua vở và bút.|- oh wă ruôt tơ̆p bơ-al weng 'long chih .
- Đợi chị bán hết chỗ chuối này rồi chị em mình cùng đi.|- gô mai tĕch đĭ dơnŏ pit 'nơ̆u 'noh mai oh bơ̆n hơdĭng năm .
- Bác ơi, bác có mua chuối này không? Chuối ngon lắm.|- nă trương , mih ơĭ ruôt pit 'nơ̆u bĭ ? . Pit nham dêh .
- Chuối bán mấy ngàn?|- pit tĕch dôm abơ̆u ? .
- Hai ngàn một nải.|- hai abơ̆u minh chê .
- Đắt quá. Tôi không mua. Ba ngàn hai nải được không?|- kơnă dêh . Inh bĭ ruôt . Ba hơbơ̆u 'bar chê đơng bĭ ? .
- Vâng. Bác mua vở và bút ở đâu đấy?|- bĭ . Nă ruôt tơ̆p bơ-al weng 'long chih uĕi nhŏng ? .
- Ở cái nhà chỗ dốc đằng kia.|- lơ̆m tŏ hnam dơnŏ tơgel gah tơ to .
- Một quyển vở và một cái bút bao nhiêu tiền?|- một tơ̆p bơ-al weng minh 'long chih dôm jên ? .
- Một quyển vở hai ngàn rưỡi. Một cái bút một ngàn.|- một tơ̆p bơ-al 'bar hơbơ̆u pla . Một 'long chih minh abơ̆u .
